#run command: vcs -R -sverilog -f run.f -debug_access+all -top switch_test -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/simv.vdb -cm_name switch_test_cov +ntb_random_seed_automatic


--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  20
[Driver_0] ID:0 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):c7 Data(Dec):199 | Type:MDP
[Driver_1] ID:1 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):6f Data(Dec):111 | Type:MDP
[Driver_2] ID:2 Name:pkt_2 | Src:0100 Tgt:0011 | Data(Hex):47 Data(Dec):71 | Type:MDP
[Driver_3] ID:3 Name:pkt_3 | Src:1000 Tgt:0101 | Data(Hex):e5 Data(Dec):229 | Type:MDP
[Monitor_0] ID:4 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):47 Data(Dec):71 | Type:MDP
[Monitor_1] ID:5 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):47 Data(Dec):71 | Type:MDP
[Monitor_0] ID:6 Name:monitored | Src:1000 Tgt:0101 | Data(Hex):e5 Data(Dec):229 | Type:MDP
[Monitor_2] ID:7 Name:monitored | Src:1000 Tgt:0101 | Data(Hex):e5 Data(Dec):229 | Type:MDP
[Driver_2] ID:8 Name:pkt_2 | Src:0100 Tgt:0010 | Data(Hex):e1 Data(Dec):225 | Type:SDP
[Monitor_1] ID:9 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):c7 Data(Dec):199 | Type:MDP
[Monitor_2] ID:10 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):c7 Data(Dec):199 | Type:MDP
[Monitor_3] ID:11 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):c7 Data(Dec):199 | Type:MDP
[Monitor_0] ID:12 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):6f Data(Dec):111 | Type:MDP
[Monitor_2] ID:13 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):6f Data(Dec):111 | Type:MDP
[Driver_1] ID:14 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):66 Data(Dec):102 | Type:MDP
[Driver_0] ID:15 Name:pkt_0 | Src:0001 Tgt:1000 | Data(Hex):25 Data(Dec):37 | Type:SDP
[Driver_3] ID:16 Name:pkt_3 | Src:1000 Tgt:0111 | Data(Hex):4d Data(Dec):77 | Type:MDP
[Monitor_1] ID:17 Name:monitored | Src:0100 Tgt:0010 | Data(Hex):e1 Data(Dec):225 | Type:SDP
[Monitor_0] ID:18 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):66 Data(Dec):102 | Type:MDP
[Monitor_2] ID:19 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):66 Data(Dec):102 | Type:MDP
[Monitor_0] ID:20 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):4d Data(Dec):77 | Type:MDP
[Monitor_1] ID:21 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):4d Data(Dec):77 | Type:MDP
[Monitor_2] ID:22 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):4d Data(Dec):77 | Type:MDP
[Monitor_3] ID:23 Name:monitored | Src:0001 Tgt:1000 | Data(Hex):25 Data(Dec):37 | Type:SDP
[Driver_0] ID:24 Name:pkt_0 | Src:0001 Tgt:0010 | Data(Hex):cf Data(Dec):207 | Type:SDP
[Driver_2] ID:25 Name:pkt_2 | Src:0100 Tgt:0001 | Data(Hex):52 Data(Dec):82 | Type:SDP
