Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final.log +no_notifier
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  8 23:32 2026
NOTE: automatic random seed used: 3283960151
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Checker] Predicted Drop: Packet ID 0 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:0 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):57 Data(Dec):87 | Type:MDP
[Driver_1] ID:1 Name:pkt_1 | Src:0010 Tgt:1101 | Data(Hex):a7 Data(Dec):167 | Type:MDP
[Driver_2] ID:2 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):1f Data(Dec):31 | Type:MDP
[Checker] Predicted Drop: Packet ID 3 is INVALID (Src:1000 Tgt:1100). Ignoring.
[Driver_3] ID:3 Name:pkt_3 | Src:1000 Tgt:1100 | Data(Hex):eb Data(Dec):235 | Type:MDP
[Checker] Predicted Drop: Packet ID 4 is INVALID (Src:0100 Tgt:1101). Ignoring.
[Driver_2] ID:4 Name:pkt_2 | Src:0100 Tgt:1101 | Data(Hex):95 Data(Dec):149 | Type:MDP
[Driver_3] ID:5 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):ae Data(Dec):174 | Type:MDP
[Driver_1] ID:6 Name:pkt_1 | Src:0010 Tgt:0001 | Data(Hex):91 Data(Dec):145 | Type:SDP
[Checker] Predicted Drop: Packet ID 7 is INVALID (Src:0001 Tgt:0000). Ignoring.
[Driver_0] ID:7 Name:pkt_0 | Src:0001 Tgt:0000 | Data(Hex):22 Data(Dec):34 | Type:ERR
[Checker] Predicted Drop: Packet ID 8 is INVALID (Src:1000 Tgt:1001). Ignoring.
[Driver_3] ID:8 Name:pkt_3 | Src:1000 Tgt:1001 | Data(Hex):71 Data(Dec):113 | Type:MDP
[Driver_0] ID:9 Name:pkt_0 | Src:0001 Tgt:1100 | Data(Hex):f3 Data(Dec):243 | Type:MDP
[Driver_2] ID:10 Name:pkt_2 | Src:0100 Tgt:1111 | Data(Hex):a3 Data(Dec):163 | Type:BDP
[Driver_0] ID:11 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Checker] Predicted Drop: Packet ID 12 is INVALID (Src:0010 Tgt:1010). Ignoring.
[Driver_1] ID:12 Name:pkt_1 | Src:0010 Tgt:1010 | Data(Hex):e9 Data(Dec):233 | Type:MDP
[Monitor_0] ID:13 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):a7 Data(Dec):167 | Type:MDP
[Monitor_2] ID:14 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):a7 Data(Dec):167 | Type:MDP
[Monitor_3] ID:15 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):a7 Data(Dec):167 | Type:MDP
[Monitor_1] ID:16 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):1f Data(Dec):31 | Type:MDP
[Monitor_3] ID:17 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):1f Data(Dec):31 | Type:MDP
[Monitor_0] ID:18 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):ae Data(Dec):174 | Type:MDP
[Monitor_1] ID:19 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):ae Data(Dec):174 | Type:MDP
[Monitor_2] ID:20 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):f3 Data(Dec):243 | Type:MDP
[Monitor_3] ID:21 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):f3 Data(Dec):243 | Type:MDP
[Monitor_0] ID:22 Name:monitored | Src:0010 Tgt:0001 | Data(Hex):91 Data(Dec):145 | Type:SDP
[Driver_3] ID:23 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):97 Data(Dec):151 | Type:SDP
[Monitor_0] ID:24 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):a3 Data(Dec):163 | Type:BDP
[Monitor_1] ID:25 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):a3 Data(Dec):163 | Type:BDP
[Monitor_2] ID:26 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):a3 Data(Dec):163 | Type:BDP
[Monitor_3] ID:27 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):a3 Data(Dec):163 | Type:BDP
[Monitor_1] ID:28 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Monitor_2] ID:29 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Monitor_3] ID:30 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Driver_2] ID:31 Name:pkt_2 | Src:0100 Tgt:1001 | Data(Hex):40 Data(Dec):64 | Type:MDP
[Checker] Predicted Drop: Packet ID 32 is INVALID (Src:0001 Tgt:0011). Ignoring.
[Driver_0] ID:32 Name:pkt_0 | Src:0001 Tgt:0011 | Data(Hex):51 Data(Dec):81 | Type:MDP
[Monitor_2] ID:33 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):97 Data(Dec):151 | Type:SDP
[Driver_3] ID:34 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):22 Data(Dec):34 | Type:MDP
[Driver_1] ID:35 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):0f Data(Dec):15 | Type:MDP
[Monitor_0] ID:36 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):40 Data(Dec):64 | Type:MDP
[Monitor_3] ID:37 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):40 Data(Dec):64 | Type:MDP
[Driver_0] ID:38 Name:pkt_0 | Src:0001 Tgt:1010 | Data(Hex):39 Data(Dec):57 | Type:MDP
[Checker] Predicted Drop: Packet ID 39 is INVALID (Src:1000 Tgt:1011). Ignoring.
[Driver_3] ID:39 Name:pkt_3 | Src:1000 Tgt:1011 | Data(Hex):5b Data(Dec):91 | Type:MDP
[Monitor_1] ID:40 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):22 Data(Dec):34 | Type:MDP
[Monitor_2] ID:41 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):22 Data(Dec):34 | Type:MDP
[Monitor_0] ID:42 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):0f Data(Dec):15 | Type:MDP
[Monitor_2] ID:43 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):0f Data(Dec):15 | Type:MDP
[Driver_2] ID:44 Name:pkt_2 | Src:0100 Tgt:0001 | Data(Hex):45 Data(Dec):69 | Type:SDP
[Monitor_1] ID:45 Name:monitored | Src:0001 Tgt:1010 | Data(Hex):39 Data(Dec):57 | Type:MDP
[Monitor_3] ID:46 Name:monitored | Src:0001 Tgt:1010 | Data(Hex):39 Data(Dec):57 | Type:MDP
[Checker] Predicted Drop: Packet ID 47 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:47 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):f7 Data(Dec):247 | Type:MDP
[Driver_3] ID:48 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):86 Data(Dec):134 | Type:SDP
[Monitor_0] ID:49 Name:monitored | Src:0100 Tgt:0001 | Data(Hex):45 Data(Dec):69 | Type:SDP
[Checker] Predicted Drop: Packet ID 50 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:50 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):c3 Data(Dec):195 | Type:MDP
[Driver_2] ID:51 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):2f Data(Dec):47 | Type:MDP
[Checker] Predicted Drop: Packet ID 52 is INVALID (Src:1000 Tgt:1100). Ignoring.
[Driver_3] ID:52 Name:pkt_3 | Src:1000 Tgt:1100 | Data(Hex):27 Data(Dec):39 | Type:MDP
[Checker] Predicted Drop: Packet ID 53 is INVALID (Src:0010 Tgt:0000). Ignoring.
[Driver_1] ID:53 Name:pkt_1 | Src:0010 Tgt:0000 | Data(Hex):57 Data(Dec):87 | Type:ERR
[Monitor_2] ID:54 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):86 Data(Dec):134 | Type:SDP
