Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:38 2026
NOTE: automatic random seed used: 1417513097
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Checker] Predicted Drop: Packet ID 0 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:0 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):74 Data(Dec):116 | Type:MDP
[Checker] Predicted Drop: Packet ID 1 is INVALID (Src:0010 Tgt:0010). Ignoring.
[Driver_1] ID:1 Name:pkt_1 | Src:0010 Tgt:0010 | Data(Hex):35 Data(Dec):53 | Type:SDP
[Checker] Predicted Drop: Packet ID 2 is INVALID (Src:0100 Tgt:1110). Ignoring.
[Driver_2] ID:2 Name:pkt_2 | Src:0100 Tgt:1110 | Data(Hex):73 Data(Dec):115 | Type:MDP
[Driver_3] ID:3 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):3d Data(Dec):61 | Type:MDP
[Checker] Predicted Drop: Packet ID 4 is INVALID (Src:0010 Tgt:0000). Ignoring.
[Driver_1] ID:4 Name:pkt_1 | Src:0010 Tgt:0000 | Data(Hex):d4 Data(Dec):212 | Type:ERR
[Checker] Predicted Drop: Packet ID 5 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:5 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):d6 Data(Dec):214 | Type:SDP
[Checker] Predicted Drop: Packet ID 6 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:6 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):e3 Data(Dec):227 | Type:MDP
[Checker] Predicted Drop: Packet ID 7 is INVALID (Src:1000 Tgt:1101). Ignoring.
[Driver_3] ID:7 Name:pkt_3 | Src:1000 Tgt:1101 | Data(Hex):ef Data(Dec):239 | Type:MDP
[Checker] Predicted Drop: Packet ID 8 is INVALID (Src:1000 Tgt:0000). Ignoring.
[Driver_3] ID:8 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):6f Data(Dec):111 | Type:ERR
[Checker] Predicted Drop: Packet ID 9 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:9 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):e1 Data(Dec):225 | Type:MDP
[Monitor_1] ID:10 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):3d Data(Dec):61 | Type:MDP
[Monitor_2] ID:11 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):3d Data(Dec):61 | Type:MDP
[Driver_0] ID:12 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):a5 Data(Dec):165 | Type:MDP
[Checker] Predicted Drop: Packet ID 13 is INVALID (Src:0100 Tgt:0000). Ignoring.
[Driver_2] ID:13 Name:pkt_2 | Src:0100 Tgt:0000 | Data(Hex):43 Data(Dec):67 | Type:ERR
[Driver_3] ID:14 Name:pkt_3 | Src:1000 Tgt:0101 | Data(Hex):09 Data(Dec):9 | Type:MDP
[Driver_1] ID:15 Name:pkt_1 | Src:0010 Tgt:1100 | Data(Hex):91 Data(Dec):145 | Type:MDP
[Driver_2] ID:16 Name:pkt_2 | Src:0100 Tgt:1011 | Data(Hex):4d Data(Dec):77 | Type:MDP
[Monitor_1] ID:17 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):a5 Data(Dec):165 | Type:MDP
[Monitor_2] ID:18 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):a5 Data(Dec):165 | Type:MDP
[Monitor_3] ID:19 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):a5 Data(Dec):165 | Type:MDP
