Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg_100mhz.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan 14 17:11 2026
NOTE: automatic random seed used: 2297481700
Doing SDF annotation ...... Done
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  50
[Checker] Predicted Drop: Packet ID 0 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:0 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):7e Data(Dec):126 | Type:MDP
[Checker] Predicted Drop: Packet ID 1 is INVALID (Src:0010 Tgt:0011). Ignoring.
[Driver_1] ID:1 Name:pkt_1 | Src:0010 Tgt:0011 | Data(Hex):64 Data(Dec):100 | Type:MDP
[Checker] Predicted Drop: Packet ID 2 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:2 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):0c Data(Dec):12 | Type:MDP
[Checker] Predicted Drop: Packet ID 3 is INVALID (Src:1000 Tgt:1101). Ignoring.
[Driver_3] ID:3 Name:pkt_3 | Src:1000 Tgt:1101 | Data(Hex):f6 Data(Dec):246 | Type:MDP
[Checker] Predicted Drop: Packet ID 4 is INVALID (Src:0010 Tgt:0111). Ignoring.
[Driver_1] ID:4 Name:pkt_1 | Src:0010 Tgt:0111 | Data(Hex):2f Data(Dec):47 | Type:MDP
[Driver_2] ID:5 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):e1 Data(Dec):225 | Type:MDP
[Checker] Predicted Drop: Packet ID 6 is INVALID (Src:1000 Tgt:1010). Ignoring.
[Driver_3] ID:6 Name:pkt_3 | Src:1000 Tgt:1010 | Data(Hex):72 Data(Dec):114 | Type:MDP
[Driver_0] ID:7 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):5c Data(Dec):92 | Type:MDP
