Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_no_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:37 2026
NOTE: automatic random seed used: 983445339
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Checker] Predicted Drop: Packet ID 0 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:0 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):ac Data(Dec):172 | Type:SDP
[Checker] Predicted Drop: Packet ID 1 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:1 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):29 Data(Dec):41 | Type:MDP
[Driver_2] ID:2 Name:pkt_2 | Src:0100 Tgt:0011 | Data(Hex):e6 Data(Dec):230 | Type:MDP
[Driver_3] ID:3 Name:pkt_3 | Src:1000 Tgt:0001 | Data(Hex):86 Data(Dec):134 | Type:SDP
[Checker] Predicted Drop: Packet ID 4 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:4 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):66 Data(Dec):102 | Type:SDP
[Checker] Predicted Drop: Packet ID 5 is INVALID (Src:1000 Tgt:1101). Ignoring.
[Driver_3] ID:5 Name:pkt_3 | Src:1000 Tgt:1101 | Data(Hex):07 Data(Dec):7 | Type:MDP
[Driver_1] ID:6 Name:pkt_1 | Src:0010 Tgt:1100 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Checker] Predicted Drop: Packet ID 7 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:7 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):2d Data(Dec):45 | Type:SDP
[Driver_3] ID:8 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):d6 Data(Dec):214 | Type:MDP
[Driver_1] ID:9 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):39 Data(Dec):57 | Type:SDP
[Driver_2] ID:10 Name:pkt_2 | Src:0100 Tgt:1011 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Monitor_0] ID:11 Name:monitored | Src:1000 Tgt:0001 | Data(Hex):86 Data(Dec):134 | Type:SDP
[Driver_2] ID:12 Name:pkt_2 | Src:0100 Tgt:0011 | Data(Hex):63 Data(Dec):99 | Type:MDP
[Driver_3] ID:13 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Driver_1] ID:14 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):ad Data(Dec):173 | Type:SDP
[Monitor_0] ID:15 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):e6 Data(Dec):230 | Type:MDP
[Monitor_1] ID:16 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):e6 Data(Dec):230 | Type:MDP
[Monitor_2] ID:17 Name:monitored | Src:0010 Tgt:1100 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Monitor_3] ID:18 Name:monitored | Src:0010 Tgt:1100 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Driver_0] ID:19 Name:pkt_0 | Src:0001 Tgt:1000 | Data(Hex):15 Data(Dec):21 | Type:SDP
[Monitor_2] ID:20 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):39 Data(Dec):57 | Type:SDP
[Checker] Predicted Drop: Packet ID 21 is INVALID (Src:0100 Tgt:0000). Ignoring.
[Driver_2] ID:21 Name:pkt_2 | Src:0100 Tgt:0000 | Data(Hex):49 Data(Dec):73 | Type:ERR
[Monitor_0] ID:22 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Monitor_1] ID:23 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Monitor_3] ID:24 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Monitor_0] ID:25 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):d6 Data(Dec):214 | Type:MDP
[Monitor_1] ID:26 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):d6 Data(Dec):214 | Type:MDP
[Monitor_2] ID:27 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):ad Data(Dec):173 | Type:SDP
[Monitor_3] ID:28 Name:monitored | Src:0001 Tgt:1000 | Data(Hex):15 Data(Dec):21 | Type:SDP
[Checker] Predicted Drop: Packet ID 29 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:29 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):7f Data(Dec):127 | Type:SDP
[Monitor_0] ID:30 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):63 Data(Dec):99 | Type:MDP
[Monitor_1] ID:31 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):63 Data(Dec):99 | Type:MDP
[Checker] Predicted Drop: Packet ID 32 is INVALID (Src:0010 Tgt:1010). Ignoring.
[Driver_1] ID:32 Name:pkt_1 | Src:0010 Tgt:1010 | Data(Hex):25 Data(Dec):37 | Type:MDP
[Monitor_1] ID:33 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Monitor_2] ID:34 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):b6 Data(Dec):182 | Type:MDP
[Checker] Predicted Drop: Packet ID 35 is INVALID (Src:1000 Tgt:1011). Ignoring.
[Driver_3] ID:35 Name:pkt_3 | Src:1000 Tgt:1011 | Data(Hex):1a Data(Dec):26 | Type:MDP
[Checker] Predicted Drop: Packet ID 36 is INVALID (Src:0010 Tgt:1110). Ignoring.
[Driver_1] ID:36 Name:pkt_1 | Src:0010 Tgt:1110 | Data(Hex):e4 Data(Dec):228 | Type:MDP
[Driver_0] ID:37 Name:pkt_0 | Src:0001 Tgt:1010 | Data(Hex):bf Data(Dec):191 | Type:MDP
[Driver_2] ID:38 Name:pkt_2 | Src:0100 Tgt:1000 | Data(Hex):dc Data(Dec):220 | Type:SDP
[Checker] Predicted Drop: Packet ID 39 is INVALID (Src:1000 Tgt:1110). Ignoring.
[Driver_3] ID:39 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):ff Data(Dec):255 | Type:MDP
[Driver_2] ID:40 Name:pkt_2 | Src:0100 Tgt:1001 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Monitor_3] ID:41 Name:monitored | Src:0100 Tgt:1000 | Data(Hex):dc Data(Dec):220 | Type:SDP
[Driver_1] ID:42 Name:pkt_1 | Src:0010 Tgt:0001 | Data(Hex):80 Data(Dec):128 | Type:SDP
[Checker] Predicted Drop: Packet ID 43 is INVALID (Src:1000 Tgt:0000). Ignoring.
[Driver_3] ID:43 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):3b Data(Dec):59 | Type:ERR
[Monitor_1] ID:44 Name:monitored | Src:0001 Tgt:1010 | Data(Hex):bf Data(Dec):191 | Type:MDP
[Monitor_3] ID:45 Name:monitored | Src:0001 Tgt:1010 | Data(Hex):bf Data(Dec):191 | Type:MDP
[Checker] Predicted Drop: Packet ID 46 is INVALID (Src:0001 Tgt:0000). Ignoring.
[Driver_0] ID:46 Name:pkt_0 | Src:0001 Tgt:0000 | Data(Hex):f9 Data(Dec):249 | Type:ERR
[Monitor_0] ID:47 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Monitor_3] ID:48 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Monitor_0] ID:49 Name:monitored | Src:0010 Tgt:0001 | Data(Hex):80 Data(Dec):128 | Type:SDP
[Checker] Predicted Drop: Packet ID 50 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:50 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):c3 Data(Dec):195 | Type:MDP
[Checker] Predicted Drop: Packet ID 51 is INVALID (Src:1000 Tgt:1110). Ignoring.
[Driver_3] ID:51 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):c0 Data(Dec):192 | Type:MDP
[Driver_0] ID:52 Name:pkt_0 | Src:0001 Tgt:1000 | Data(Hex):e7 Data(Dec):231 | Type:SDP
[Checker] Predicted Drop: Packet ID 53 is INVALID (Src:0010 Tgt:0000). Ignoring.
[Driver_1] ID:53 Name:pkt_1 | Src:0010 Tgt:0000 | Data(Hex):25 Data(Dec):37 | Type:ERR
[Monitor_3] ID:54 Name:monitored | Src:0001 Tgt:1000 | Data(Hex):e7 Data(Dec):231 | Type:SDP
[Checker] Predicted Drop: Packet ID 55 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:55 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):42 Data(Dec):66 | Type:SDP
[Driver_3] ID:56 Name:pkt_3 | Src:1000 Tgt:0001 | Data(Hex):58 Data(Dec):88 | Type:SDP
[Checker] Predicted Drop: Packet ID 57 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:57 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Checker] Predicted Drop: Packet ID 58 is INVALID (Src:0010 Tgt:1110). Ignoring.
[Driver_1] ID:58 Name:pkt_1 | Src:0010 Tgt:1110 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Monitor_0] ID:59 Name:monitored | Src:1000 Tgt:0001 | Data(Hex):58 Data(Dec):88 | Type:SDP
